10071	Slightly increase velocity with a long spurt starting halfway through the race.
10081	Become stronger at challenging rivals and moderately increase velocity when positioned toward the front with 200m or less remaining.
10091	Slightly swell with the determination to be number one when positioned toward the front in the second half of the race.
10111	Moderately increase velocity with a strong turn of foot when passing another runner toward the back on the final straight.
10141	Slightly hang on to the advantage when positioned toward the front with energy to spare on the final straight.
10181	Moderately increase velocity with the stride of an empress when passing another runner from midpack or further back on the final corner.
10241	Slightly increase ability to break out of the pack on the straight after engaging in a challenge toward the front on the final corner or later.
10271	Moderately increase acceleration in an attempt to move up on a corner late-race.
10321	Moderately recover endurance and slightly increase velocity for a moderate duration when sitting off the pace on a corner in the second half of the race.
10351	Moderately increase velocity with winning ambition when positioned toward the front on the final straight after engaging in a challenge on the final corner or later.
10411	Moderately increase velocity with BAKUSHIN power when engaged in a challenge toward the front in the second half of the race.
10451	Recover endurance when well-positioned mid-race.
10521	Moderately recover endurance with a glance at nearby runners when positioned toward the back on the final corner.
10561	Moderately clear a path forward with the power of divination when the way ahead is jammed late-race.
10601	Moderately increase velocity with an arousal of fighting spirit when positioned 3rd and about to lose late-race.
10611	Increase velocity in a true display of skill with 200m remaining after racing calmly.
10621	Moderately recover endurance and slightly increase velocity with newfound resolve when in midpack around halfway through the race.
100011	Ride the momentum to increase velocity and very slightly increase acceleration after passing another runner toward the front late-race.
100021	Increase velocity by drawing on all remaining strength when in the lead by a fair margin in the second half of the race.
100031	Greatly increase velocity with flashy footwork when closing the gap to runners ahead on the final straight.
100041	Increase acceleration by shifting gears when positioned toward the front on the final corner or later.
100051	Greatly increase velocity with a dazzling display when just breaking out of the pack toward the front on the final straight.
100061	Greatly increase ability to break out of the pack by opening up a path when positioned toward the front with 200m remaining.
100071	Moderately increase velocity steadily with a long spurt starting halfway through the race.
100081	Become stronger at challenging rivals and increase velocity when positioned toward the front with 200m or less remaining.
100091	Swell with the determination to be number one when positioned toward the front in the second half of the race.
100101	Increase acceleration with a pow, a wow, and a bang when well-positioned upon approaching the final straight.
100111	Increase velocity with a strong turn of foot when passing another runner toward the back on the final straight.
100121	Increase velocity on the final straight after passing another runner on the outside toward the back on the final corner or later.
100131	Increase velocity with the determination to not be overtaken when positioned toward the front on the final corner.
100141	Hang onto the advantage when positioned toward the front with energy to spare on the final straight.
100151	Increase velocity with royal brilliance when positioned toward the front and close to the runner ahead or behind on the final corner or later.
100161	Increase velocity with beastly strength when passing another runner on the outside on the final corner or later. If the skill user engaged in a challenge mid-race, greatly increase velocity instead.
100171	Greatly increase velocity on the final straight after passing another runner 3 times late-race.
100181	Increase velocity with the stride of an empress when passing another runner from midpack or further back on the final corner.
100191	Increase velocity and navigation with the pure euphoria of being within breathing distance of precious waifus after passing another runner 2 times late-race.
100201	Increase acceleration at an opportune moment when in the lead on a corner late-race.
100211	Bolt down the track like lightning when well-positioned or aiming for the front from midpack on a straight in the second half of the race.
100221	Increase velocity with the excitement of running when engaged in a challenge while well-positioned in the second half of the race.
100231	Increase velocity by deriving the winning equation when passing another runner toward the front on the final corner or later.
100241	Increase ability to break out of the pack on the straight after engaging in a challenge toward the front on the final corner or later.
100251	Chase after an unseen friend when in midpack in the second half of the race, moderately increasing velocity steadily and very slightly intimidating runners ahead.
100261	Increase velocity when positioned toward the front after making it to the final straight without faltering.
100271	Increase acceleration in an attempt to move up on a corner late-race.
100281	Kick forward hard with renewed vigor when starting to get tired while well-positioned halfway through the race.
100301	Increase velocity with strong willpower on the final straight after passing another runner in the front part of the pack on the final corner or later.
100311	Moderately increase velocity when positioned toward the front with about 300m remaining. If coming out of an uphill, greatly increase velocity instead.
100321	Recover endurance and moderately increase velocity for a moderate duration when sitting off the pace on a corner in the second half of the race.
100331	Increase velocity with guidance from the stars when far from the lead on the final straight. If positioned around the very back, greatly increase velocity instead.
100341	When competing for the lead if positioned in the midpack or further for the first half of the race, show off some Edo spirit and greatly increase velocity.
100351	Increase velocity with winning ambition when positioned toward the front on the final straight after engaging in a challenge on the final corner or later.
100361	When near the inner rail midpack on the final corner or later, calculate the path to victory, increasing velocity and ability to navigate smoothly on the final straight.
100371	Increase velocity in a dash for the lead after running calmly and according to plan up until the final straight.
100381	Gain momentum and begin to advance when passing another runner while well-positioned around halfway through the race.
100391	Increase velocity with pretty princess power when engaged in a challenge on the final straight.
100401	Moderately increase acceleration steadily with a wink when starting to make a move from midpack in the second half of the race.
100411	Increase velocity with BAKUSHIN power when engaged in a challenge toward the front in the second half of the race.
100441	If positioned toward the back and racing calmly until the start of the final corner, when there are 300m remaining, cast a magic spell to increase velocity continuously.
100451	Greatly recover endurance when well-positioned mid-race.
100461	Become empowered to keep the spotlight when positioned toward the front and close to the runner behind on a straight mid-race.
