10071,20013
10081,20013
10091,20013
10111,20013
10141,20013
10181,20013
10241,20013
10271,20043
10321,20023
10351,20013
10411,20013
10451,20023
10521,20023
10561,20013
10601,20013
10611,20013
10621,20023
100011,20013
100021,20013
100031,20013
100041,20043
100051,20013
100061,20013
100071,20013
100081,20013
100091,20013
100101,20043
100111,20013
100121,20013
100131,20013
100141,20013
100151,20013
100161,20013
100171,20013
100181,20013
100191,20013
100201,20043
100211,20013
100221,20013
100231,20013
100241,20013
100251,20013
100261,20013
100271,20043
100281,20013
100301,20013
100311,20013
100321,20023
100331,20013
100341,20013
100351,20013
100361,20013
100371,20013
100381,20013
100391,20013
100401,20043
100411,20013
100421,20013
100441,20013
100451,20023
100461,20013
100481,20013
100501,20013
100511,20043
100521,20023
100531,20043
100561,20013
100581,20013
100591,20043
100601,20013
100611,20013
100621,20023
100641,20023
100671,20013
100681,20013
100691,20013
100711,20013
100721,20013
100741,20013
100981,20013
100991,20043
110011,20023
110031,20013
110041,20013
110051,20013
110061,20013
110071,20013
110101,20013
110111,20023
110131,20013
110141,20043
110151,20013
110171,20013
110181,20013
110201,20013
110221,20013
110231,20013
110241,20013
110261,20013
110301,20023
110371,20013
110381,20013
110401,20013
110451,20013
110521,20013
110561,20013
110591,20013
110601,20013
110611,20043
120011,20013
120131,20013
200011,10011
200012,10011
200013,10014
200014,10012
200021,10011
200022,10011
200023,10014
200031,10021
200032,10021
200033,10024
200041,10021
200042,10021
200043,10024
200051,10021
200052,10021
200053,10024
200061,10021
200062,10021
200063,10024
200064,10022
200071,10021
200072,10021
200073,10024
200081,10021
200082,10021
200083,10024
200091,10021
200092,10021
200093,10024
200101,10021
200102,10021
200103,10024
200111,10021
200112,10021
200113,10024
200121,10021
200122,10021
200123,10024
200131,10021
200132,10021
200133,10024
200141,10021
200142,10021
200143,10024
200151,10031
200152,10031
200153,10034
200154,10032
200161,10031
200162,10031
200163,10034
200171,10011
200172,10011
200173,10014
200174,10012
200181,10011
200182,10011
200183,10014
200191,10011
200192,10011
200193,10014
200194,10012
200201,10011
200202,10011
200203,10014
200211,10041
200212,10041
200221,10041
200222,10041
200231,10041
200232,10041
200233,10044
200241,10041
200242,10041
200251,10051
200252,10051
200253,10054
200261,10011
200262,10011
200263,10014
200271,10011
200272,10011
200281,10031
200282,10031
200283,10034
200291,10041
200292,10041
200301,10011
200302,10011
200311,10014
200321,10024
200331,20012
200332,20011
200333,20014
200341,20042
200342,20041
200343,20044
200351,20022
200352,20021
200353,20024
200361,20012
200362,20011
200371,20042
200372,20041
200381,20022
200382,20021
200391,20024
200401,20024
200411,20014
200421,20014
200431,20062
200432,20061
200433,20064
200441,20022
200442,20021
200451,20052
200452,20051
200461,20012
200462,20011
200471,20022
200472,20021
200481,20022
200482,20021
200491,20042
200492,20041
200501,20052
200502,20051
200511,20012
200512,20011
200521,20024
200531,20042
200532,20041
200541,20012
200542,20011
200551,20042
200552,20041
200561,20022
200562,20021
200571,20022
200572,20021
200581,20012
200582,20011
200591,20012
200592,20011
200601,20042
200602,20041
200611,20012
200612,20011
200621,20022
200622,20021
200631,20012
200632,20011
200641,20042
200642,20041
200651,20042
200652,20041
200662,20021
200671,20012
200672,20011
200681,20012
200682,20011
200691,20022
200692,20021
200701,20042
200702,20041
200711,20022
200712,20021
200721,20012
200722,20011
200731,20012
200732,20011
200741,20022
200742,20021
200751,20012
200752,20011
200761,20022
200762,20021
200771,30051
200772,30052
200781,30051
200791,30041
200801,30041
200811,30041
200821,30041
200831,30051
200841,30051
200851,30011
200861,30051
200871,30051
200881,30011
200891,30051
200901,30051
200911,30011
200921,30051
200931,30051
200941,30011
200951,10021
200952,10021
200953,10024
200961,20011
200962,20011
200963,20012
200971,20011
200972,20011
200981,20012
200982,20011
200991,20042
200992,20041
201001,20052
201002,20051
201011,30012
201012,30011
201021,30052
201022,30051
201031,20011
201032,20011
201041,20011
201042,20011
201051,20012
201052,20011
201061,20042
201062,20041
201071,20012
201072,20011
201081,30012
201082,30011
201091,30022
201092,30021
201101,20011
201102,20011
201103,20012
201111,20011
201112,20011
201113,20012
201121,20092
201122,20091
201131,20052
201132,20051
201141,20022
201142,20021
201151,30012
201152,30011
201161,30052
201162,30051
201171,20011
201172,20011
201173,20012
201181,20011
201182,20011
201191,20012
201192,20011
201201,20022
201202,20021
201211,20012
201212,20011
201221,30052
201222,30051
201231,30072
201232,30071
201241,20011
201242,20011
201251,20011
201252,20011
201261,20052
201262,20051
201271,20012
201272,20011
201281,20022
201282,20021
201291,20042
201292,20041
201302,30021
201311,20011
201312,20011
201321,20011
201322,20011
201331,20042
201332,20041
201341,20042
201342,20041
201351,20022
201352,20021
201361,20042
201362,20041
201371,30072
201372,30071
201381,20011
201382,20011
201391,20011
201392,20011
201401,20042
201402,20041
